pensioner_id,age,life_proof_delay,bank_activity_count,biometric_status,historical_approval_rate,pension_credit_anomaly,eligibility_label
PNS-00001,70.44,0.02,9,0,0.7165,0,1
PNS-00002,59.68,4.79,12,1,0.922,0,1
PNS-00003,74.0,0.12,4,1,0.8684,0,1
PNS-00004,75.52,9.91,6,0,0.9552,0,0
PNS-00005,74.16,0.32,4,0,0.7367,0,0
PNS-00006,57.58,4.25,10,0,0.8434,0,1
PNS-00007,69.02,14.96,6,1,0.8068,0,1
PNS-00008,65.47,30.75,7,1,0.8216,0,1
PNS-00009,67.87,36.52,3,1,0.7798,0,1
PNS-00010,61.18,15.71,10,1,0.7883,0,1
PNS-00011,75.04,15.63,7,1,0.8836,1,1
PNS-00012,74.22,13.9,10,1,0.9427,0,1
PNS-00013,68.53,0.16,9,0,0.5656,0,0
PNS-00014,77.02,29.02,10,1,0.8851,0,1
PNS-00015,71.74,20.23,10,1,0.9494,1,1
PNS-00016,61.13,1.67,9,1,0.932,0,1
PNS-00017,70.95,4.73,11,1,0.6691,0,1
PNS-00018,60.33,7.25,12,0,0.7992,0,1
PNS-00019,75.03,1.01,9,0,0.7325,0,1
PNS-00020,67.6,0.71,11,1,0.8133,0,1
PNS-00021,66.52,29.72,8,1,0.5239,0,1
PNS-00022,62.55,8.71,4,1,0.8413,0,1
PNS-00023,77.78,40.25,5,0,0.9002,0,0
PNS-00024,66.76,6.96,11,0,0.9298,1,0
PNS-00025,64.57,6.7,6,1,0.8825,0,1
PNS-00026,65.18,4.25,11,1,0.6653,0,1
PNS-00027,72.26,5.83,12,1,0.8916,0,1
PNS-00028,70.92,6.13,8,1,0.6134,0,1
PNS-00029,71.3,4.66,10,1,0.7072,0,1
PNS-00030,71.45,8.73,9,1,0.4427,1,0
PNS-00031,85.13,32.35,10,0,0.5966,0,0
PNS-00032,64.75,5.33,11,1,0.8819,1,1
PNS-00033,63.9,1.24,9,1,0.8206,0,1
PNS-00034,61.49,3.1,7,1,0.7771,0,1
PNS-00035,72.93,7.55,7,1,0.9133,0,1
PNS-00036,77.03,14.3,2,0,0.8465,0,0
PNS-00037,67.09,28.39,9,1,0.8783,0,1
PNS-00038,61.28,1.8,6,1,0.812,0,1
PNS-00039,61.4,10.73,6,0,0.918,0,0
PNS-00040,73.2,11.26,8,1,0.6779,0,1
PNS-00041,73.95,9.41,9,1,0.9424,0,1
PNS-00042,72.35,56.16,5,1,0.8033,1,0
PNS-00043,62.68,4.41,5,1,0.6487,0,1
PNS-00044,69.86,2.49,5,1,0.8198,1,0
PNS-00045,68.93,0.94,6,0,0.9425,0,1
PNS-00046,69.75,17.52,8,1,0.8756,0,1
PNS-00047,74.97,10.86,4,1,0.7841,0,1
PNS-00048,69.79,0.39,6,1,0.8605,0,1
PNS-00049,73.43,11.42,9,1,0.9719,0,1
PNS-00050,68.54,9.05,4,1,0.7473,0,1
PNS-00051,70.31,2.64,5,1,0.7721,0,1
PNS-00052,73.05,11.5,5,1,0.8944,0,1
PNS-00053,56.34,5.12,8,1,0.4444,0,1
PNS-00054,65.44,1.28,7,1,0.8015,0,1
PNS-00055,64.24,94.96,15,1,0.7465,0,1
PNS-00056,62.89,10.9,9,1,0.7882,0,1
PNS-00057,65.8,1.74,10,1,0.7825,1,1
PNS-00058,79.96,3.15,10,1,0.7957,1,1
PNS-00059,61.07,3.51,6,1,0.8783,0,1
PNS-00060,75.75,5.32,12,1,0.8304,0,1
PNS-00061,71.47,43.02,9,1,0.9022,0,1
PNS-00062,65.32,0.19,12,1,0.6559,0,1
PNS-00063,69.3,7.76,6,1,0.9172,0,1
PNS-00064,72.69,13.37,3,1,0.7683,0,1
PNS-00065,73.69,4.41,5,1,0.8831,0,1
PNS-00066,74.35,3.6,8,1,0.8782,0,1
PNS-00067,65.21,2.82,6,0,0.7229,0,0
PNS-00068,64.3,4.3,6,1,0.8215,0,1
PNS-00069,74.86,1.78,8,1,0.907,0,1
PNS-00070,66.47,0.88,11,1,0.5367,0,1
PNS-00071,57.79,4.82,6,0,0.8902,0,0
PNS-00072,58.93,7.28,11,1,0.8269,0,1
